schoolindex,school,y9,y10,y11,y12,y13,y14,y15,y16,y17
7,중앙대,1,1,1,1,3,1,2,0,0
7,청주교대,0,0,0,0,1,0,0,0,0
7,충남대,0,0,1,0,0,0,0,0,0
7,학점은행,0,0,0,1,1,0,0,0,0
7,포항공대,1,0,0,1,1,0,0,0,0
6,University of Minnesota,0,0,0,0,0,0,1,0,0
7,한국교원대,0,0,0,1,0,0,0,0,0
7,한국외대,1,2,0,2,0,2,4,1,0
7,한국항공대,0,0,0,0,1,0,0,0,0
7,한국해양대,1,3,0,3,2,1,2,1,0
7,한동대,0,0,1,0,2,3,0,0,0
7,한양대,2,3,10,6,7,6,11,9,0
6,Emory University,0,0,0,0,0,0,0,1,0
6,University of California,0,0,0,0,0,0,0,2,0
6,Paris 10 University,0,0,0,0,0,0,0,1,0
6,Bangalore University,0,0,0,0,0,0,0,0,1
6,indiana university bloomington,0,0,0,0,0,0,0,0,1
6,Pennsylvania state University,0,0,0,0,0,0,0,0,1
7,강원대,0,0,0,0,1,0,0,0,0
7,건국대,0,0,0,0,0,1,2,0,0
7,경북대,1,0,0,2,0,1,0,0,0
7,경찰대,0,0,0,0,0,0,1,1,0
7,경희대,0,0,0,1,0,1,1,0,0
7,계명대,0,1,0,0,0,0,0,0,0
7,고려대,23,19,23,23,18,17,15,16,0
7,공주교대,0,0,0,1,0,0,0,0,0
7,대구가톨릭대,0,0,0,1,0,0,0,0,0
7,동국대,0,0,0,1,0,0,1,2,0
7,동아대,1,2,0,0,1,0,1,1,0
7,부경대,0,0,1,0,0,2,1,0,0
7,부산교대,0,1,0,0,0,0,0,0,0
7,부산대,37,40,35,37,34,13,23,24,0
7,서강대,2,2,1,1,5,9,4,6,0
7,서울대,16,19,13,12,14,26,16,14,0
7,서울시립대,0,0,0,2,0,0,0,0,0
7,성균관대,6,6,9,6,5,9,9,7,0
8,경북대,0,0,0,0,0,1,0,0,0
8,경찰대,0,0,0,0,1,0,0,0,0
8,경희대,0,0,0,1,2,0,1,0,0
8,고려대,6,7,5,12,6,8,8,9,0
8,동국대,0,0,0,0,0,1,0,0,0
8,서강대,17,9,8,7,7,7,3,4,0
8,서울대,10,11,9,5,9,6,12,13,0
8,성균관대,1,1,2,0,0,0,1,2,0
8,아주대,0,0,0,0,0,0,0,1,0
8,연세대,4,12,15,16,15,15,13,10,0
8,이화여대,0,0,1,1,1,2,1,2,0
6,SUNY Buffalo,0,0,0,0,0,0,0,0,1
8,차의과대학,0,0,0,0,0,0,1,0,0
8,한국예술종합학교,0,0,0,0,1,0,0,0,0
8,한국외대,0,1,1,0,0,0,0,0,0
8,한양대,1,0,1,0,1,0,0,0,0
6,University of California,0,0,0,0,0,0,0,0,1
6,University of London,0,0,0,0,0,0,0,0,1
6,University of South,0,0,0,0,0,0,0,0,2
6,University of Toronto,0,0,0,0,0,0,0,0,1
6,Waseda University,0,0,0,0,0,0,0,0,1
9,가톨릭대,0,0,0,0,0,0,0,1,0
9,강원대,0,1,0,0,0,0,0,0,0
9,건국대,0,0,0,0,0,0,0,1,0
9,경북대,1,0,0,0,0,0,0,0,0
9,경찰대,2,1,1,1,1,3,3,3,0
9,경희대,0,1,0,0,0,1,0,0,0
9,고려대,18,16,21,26,27,16,13,17,0
9,공군사관학교,0,0,0,0,1,0,0,0,0
9,부산대,1,0,0,0,0,0,0,0,0
9,서강대,1,0,0,0,0,1,1,0,0
9,서울대,100,99,103,102,102,100,100,99,0
9,서울시립대,0,0,0,1,0,0,0,0,0
9,성균관대,0,1,0,1,2,1,3,0,0
9,숙명여대,0,0,0,0,0,1,0,0,0
9,연세대,9,18,15,12,10,16,18,20,0
9,육군사관학교,0,0,0,0,1,0,0,0,0
9,이화여대,1,1,0,0,1,0,0,2,0
9,인하대,0,1,0,0,0,0,0,0,0
9,중앙대,0,2,0,0,0,1,0,0,0
9,충남대,0,0,0,0,0,0,1,0,0
9,충북대,1,0,0,0,0,0,0,0,0
9,포항공대,1,2,3,2,2,1,2,0,0
7,카이스트,1,1,2,0,1,0,0,1,0
9,한국외대,0,0,0,0,0,0,1,0,0
9,한양대,0,0,1,0,2,0,2,2,0
9,홍익대,1,0,0,0,0,0,0,1,0
7,Waseda University,0,1,0,0,0,0,1,1,0
9,동경대,0,0,0,1,0,0,0,0,0
7,University of illinois at chicago,0,0,0,0,1,0,0,0,0
7,University of Missouri,0,0,0,0,1,0,0,0,0
7,University of California,0,0,0,0,0,1,0,0,0
7,University College London,0,0,0,0,0,0,1,0,0
7,Washington University,0,0,0,0,0,0,0,1,0
