schoolindex,school,y9,y10,y11,y12,y13,y14,y15,y16,y17,sum
7,기타 대학,0,1,1,0,0,0,0,0,0,2
7,전남대,0,1,0,0,0,0,0,0,0,1
7,기타 대학,0,1,0,0,0,0,0,0,0,1
7,중앙대,1,1,1,1,3,1,2,0,0,10
7,기타 대학,0,0,0,0,1,0,0,0,0,1
7,충남대,0,0,1,0,0,0,0,0,0,1
7,기타 대학,0,0,0,1,1,0,0,0,0,2
7,기타 대학,1,0,0,1,1,0,0,0,0,3
6,해외대,0,0,0,0,0,0,1,0,0,1
7,기타 대학,0,0,0,1,0,0,0,0,0,1
7,한국외대,1,2,0,2,0,2,4,1,0,12
7,기타 대학,0,0,0,0,1,0,0,0,0,1
7,기타 대학,1,3,0,3,2,1,2,1,0,13
7,한동대,0,0,1,0,2,3,0,0,0,6
7,한양대,2,3,10,6,7,6,11,9,0,54
6,해외대,0,0,0,0,0,0,0,1,0,1
6,해외대,0,0,0,0,0,0,0,2,0,2
6,해외대,0,0,0,0,0,0,0,1,0,1
6,해외대,0,0,0,0,0,0,0,0,1,1
6,해외대,0,0,0,0,0,0,0,0,1,1
6,해외대,0,0,0,0,0,0,0,0,1,1
7,기타 대학,0,0,0,0,1,0,0,0,0,1
7,건국대,0,0,0,0,0,1,2,0,0,3
7,경북대,1,0,0,2,0,1,0,0,0,4
7,경찰대,0,0,0,0,0,0,1,1,0,2
7,경희대,0,0,0,1,0,1,1,0,0,3
7,기타 대학,0,1,0,0,0,0,0,0,0,1
7,고려대,23,19,23,23,18,17,15,16,0,154
7,기타 대학,0,0,0,1,0,0,0,0,0,1
7,기타 대학,0,0,0,1,0,0,0,0,0,1
7,동국대,0,0,0,1,0,0,1,2,0,4
7,동아대,1,2,0,0,1,0,1,1,0,6
7,기타 대학,0,0,1,0,0,2,1,0,0,4
7,기타 대학,0,1,0,0,0,0,0,0,0,1
7,부산대,37,40,35,37,34,13,23,24,0,243
7,서강대,2,2,1,1,5,9,4,6,0,30
7,서울대,16,19,13,12,14,26,16,14,0,130
7,서울시립대,0,0,0,2,0,0,0,0,0,2
7,성균관대,6,6,9,6,5,9,9,7,0,57
8,경북대,0,0,0,0,0,1,0,0,0,1
